Owner,Team_Name,QB1,RB1,RB2,WR1,WR2,TE1,FLEX,K1,DEF,Bench1,Bench2,Bench3,Bench4,Bench5,wins,losses,ties,scored_points
Jarrett,Developers,Abyssal Mousey,Juan Smith,Mikey Williams,Feather Fury Defender,CEO Stepdad,Black Cub,Howling Storm Ironclaw,Rime Sharpclaw,Dallas Tumbleweeds Defense,Winged Karen,Winged Knight,Diggs Ironclaw,Vixen Redtail,Sleak Waddlefoot,0,2,1,106.5
Ashley,Penguins,Slyfire Quicktail,The Wrath Venomspike,Bubbles ReefStalker,Hairy Dozer,Tidal Tidewalker,Tidal Deep Sea Tyrant,Octo of the Deep,Draconic Elemental,Madrid Mothers Defense,Trash Titan Darkmask Sly,Floofy the Meak,Jakarta Divers Defense,Hawkstorm Thunderbeak,Draconic Terror,1,1,1,97.87999999999998
Marcus,Damsels,Righteous Bottom Dewler,Rime Whisperpaw,Grizzle Deepclaw,Wild Otter Wavestrike,Tide Stoneback,Chilled Pebbles,Black Bear,Iron Fang Rogue Nightstalker,Boise Boys Defense,Maisha SoftPaws,Emporer Feet,Djibouti Warriors Defense,Dublin Alchoholics Defense,Local King of Man,1,1,1,83.46
Izzy,Wizards,Feather Featherstone,Floof Flooferson,Russian Trout Terror,Tide Shellington,Black Honey,Quick Claws the Meak,River Paddlemore,The Gov'na Slapstick,Mexico City Ballers Defense,Forsaken Lady of the Lake,Hawkstorm Aero Blaze,Sydney Kangeroos Defense,Masked Marauder Grim Bandit,Auckland Spiders Defense,0,2,1,74.4
Gavin,Wahs,Hawkstorm Falconeye,Mystical Centaur,Fang Blackfang,Vixen Swiftpaw,Slyfire Nightfire,Creature of Claw Sun Seeker,Soul Collector Karen,Rogue Snowfur,Berlin Walls Defense,Fang Moonfang,Dash Foxley,Stonecrusher Shadowfang,Lima Llamas Defense,Nightmare Valorhowl,1,1,1,77.60000000000001
Erin,Airways,Righteous Gator,Cyclops Fairy,Swole Tranel,Brutus Dirtpaw,Shellstorm Stonestride,The Silent King of Man,Iron Fang Wolfbane,Masked Marauder Shadowmask,LA Sunkillers Defense,Shelly Clawson,Rage Elemental,Trash Titan Grim Bandit,Blizzard Greyhide,Vancouver Maples Defense,2,0,1,133.24
April,Showers,Sliding Night Diver,Skyler Waves,Diggs Mighty Root,Nibbles Flooferson,Clumsey Grumpz,Diggs Clawmaster,Thumper 'The Crusher' Shadowthump,Octo Lake Legend,Chernobyl Radiation Defense,Cassidy Garcia,The Wrath Shellshock,Beak of Doom Darkwing,New York Sewers Defense,Moscow Mules Defense,1,1,1,96.82
Nick,Knacks,Flame Centaur,Splash Finsley,Flying Beast Hawkshade,Tusk Deepclaw,Thumper 'The Crusher' Hopper,Octo Gator,Brawler Scalebreaker,Russian Monster Mauller,Philly Flowers Defense,Quick Claws of the Jungle,Paddlebreaker Mudwhisker,Wooly Necromancer,Winnie Brook,Claw Stonehide,1,1,1,127.03999999999999
Cass,Cassowarys,Artic ReefStalker,Razertooth Horror,Diggs Gravelstone,Scraps Nightwhisker,Splash Oceansong,Moss Stoneback,Fury Fang Shadow,Lynx King Icewhisper,Miami Palm Fronds Defense,Paris Frenchmen Defense,Dubuque Psychos Defense,Cyprus Gods Defense,Ying Wang,Luis From Way Back,2,0,1,129.32
Emma,Frost,Fanatic Terror,Quickfoot Shadowthump,The Horrible Lady of the Lake,Zorro Trashpaw,Dash Sharpclaw,Brawler Boulderback,Red Vixen Fireswift,Sliding Waddlefoot,Denver Boulders Defense,Tokyo Robots Defense,Winnie Cub,Drunk Lil Guy,Nightmare Vile Fang,Cape Town Heroes Defense,0,2,1,84.08
Sara,Lobsters,Flying Beast Viperwing,Claw Nightroar,Wild Otter Swiftcurrent,Thumper Softpaw,Diggs Strongback,Fury Fireswift,Tidal Wave Stormtide,Hops of Fury Scarletfang,Jackson Hole Holy Jacks Defense,Artic Angels Defense,New Orleans Tubas Defense,Red Vixen Sly,Sea Serpant Terror,Cleveland Devils Defense,2,0,1,104.36000000000001
Keanu,Nice Guys,Russian Eclipse,Soul Collector Terror,Royal Goliath,Danger Nighthowler,Local Smelly,Wind Stormwing,Octo Light Keeper,Fin Eggs,Chicago Snowstorm Defense,Draconic Druid,Dark Quill,Boston Walkers Defense,Cyclops Stalker,Winged Strider,1,1,1,117.28
